fish_local_cap,fish_average
20.0,694.3100000000003
20.5,696.9039999999999
21.0,725.1999999999998
21.5,726.5299999999996
22.0,740.124
22.5,765.4340000000002
23.0,776.6159999999996
23.5,798.8520000000002
24.0,823.5019999999998
24.5,841.0899999999999
25.0,838.0460000000002
25.5,864.944
26.0,885.534
26.5,891.358
27.0,915.526
25.5,864.688
26.0,871.296
26.5,892.9599999999999
27.0,916.67
27.5,928.504
28.0,941.6359999999999
28.5,957.318
29.0,979.358
29.5,993.96
30.0,1008.13
30.5,1027.9940000000006
31.0,1035.3900000000015
31.5,1052.8080000000032
32.0,1058.3200000000004
32.5,1084.074
33.0,1103.663999999999
33.5,1117.5179999999991
34.0,1132.4079999999997
34.5,1147.6919999999996
35.0,1179.824000000002
35.5,1178.32
36.0,1205.8879999999997
36.5,1225.6280000000004
37.0,1238.406
37.5,1255.9679999999996
38.0,1262.748
38.5,1282.5860000000002
39.0,1294.9540000000004
39.5,1315.412000000001
40.0,1331.002
40.5,1351.642
41.0,1366.32
41.5,1380.874
